"Source","Date.LPC","Trip.ID.by.date","Hum.Dog","hoh.key","ID","hunter.age","dog.age","assistant","Dogs.used"
"HA","2/12/12",62,"Human",4,"hM4A",26,NA,"no","No"
"HA","2/12/12",62,"Human",61,"hM61A",18,NA,"no","No"
"HA","2/28/12",68,"Human",9,"hM9A",29,NA,"no","Yes"
"HA","2/28/12",68,"Human",6,"hM6A",30,NA,"no","Yes"
"HA","2/28/12",68,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","2/28/12",68,"Dog",6,"dM5A",NA,"adult",NA,"Yes"
"HA","2/28/12",68,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","2/28/12",68,"Dog",6,"dM5C",NA,"adult",NA,"Yes"
"HA","2/28/12",68,"Dog",5,"dM6A",NA,"adult",NA,"Yes"
"HA","3/12/12",69,"Human",4,"hM4A",26,NA,"no","No"
"HA","3/12/12",69,"Human",61,"hM61A",18,NA,"no","No"
"HA","3/12/12",69,"Human",62,"hM62A",28,NA,"no","No"
"HA","4/9/12",71,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","4/9/12",71,"Human",32,"hM32D",15,NA,"yes","Yes"
"HA","4/9/12",71,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","4/9/12",71,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","4/9/12",71,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","4/9/12",71,"Dog",32,"dF32D",NA,"young",NA,"Yes"
"HA","4/16/12",75,"Human",73,"hM73C",18,NA,"no","Yes"
"HA","4/16/12",75,"Dog",73,"dM73A",NA,"adult",NA,"Yes"
"HA","4/16/12",75,"Dog",73,"dF73B",NA,"adult",NA,"Yes"
"HA","4/17/12",76,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","4/17/12",76,"Human",5,"hM5C",20,NA,"no","Yes"
"HA","4/17/12",76,"Human",5,"hM5D",16,NA,"no","Yes"
"HA","4/17/12",76,"Human",6,"hM6A",30,NA,"no","Yes"
"HA","4/17/12",76,"Dog",5,"dM5C",NA,"adult",NA,"Yes"
"HA","4/17/12",76,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","4/17/12",76,"Dog",5,"dM5A",NA,"adult",NA,"Yes"
"HA","4/17/12",76,"Dog",5,"dF5D",NA,"adult",NA,"Yes"
"HA","4/19/12",77,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","4/19/12",77,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","4/19/12",77,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","4/19/12",77,"Dog",46,"dF46A",NA,"adult",NA,"Yes"
"HA","4/19/12",77,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","4/19/12",77,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","4/22/12",78,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","4/22/12",78,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","4/22/12",78,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","4/22/12",78,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","4/22/12",78,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","4/22/12",78,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","4/22/12",78,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","4/24/12",79,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","4/24/12",79,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","4/24/12",79,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","4/24/12",79,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","4/24/12",79,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","4/24/12",79,"Dog",46,"dF46A",NA,"adult",NA,"Yes"
"HA","4/24/12",79,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","4/24/12",79,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","4/25/12",80,"Human",28,"hM28A",23,NA,"no","No"
"HA","4/25/12",81,"Human",45,"hF45B",25,NA,"no","Yes"
"HA","4/25/12",81,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","4/25/12",81,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","4/25/12",81,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","4/25/12",81,"Dog",46,"dF46A",NA,"adult",NA,"Yes"
"HA","4/25/12",81,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","4/25/12",81,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","4/27/12",82,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","4/27/12",82,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","4/27/12",82,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","4/27/12",82,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","4/27/12",82,"Dog",46,"dF46A",NA,"adult",NA,"Yes"
"HA","4/27/12",82,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","4/29/12",83,"Human",26,"hM26C",20,NA,"no","No"
"HA","4/29/12",83,"Human",45,"hM45A",29,NA,"no","No"
"HA","4/30/12",84,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","4/30/12",84,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","4/30/12",84,"Dog",46,"dF46A",NA,"adult",NA,"Yes"
"HA","4/30/12",84,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","4/30/12",84,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","5/5/12",85,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","5/5/12",85,"Human",32,"hM32D",15,NA,"yes","Yes"
"HA","5/5/12",85,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","5/5/12",85,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","5/5/12",85,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","5/5/12",85,"Dog",32,"dF32D",NA,"young",NA,"Yes"
"HA","5/6/12",86,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","5/6/12",86,"Human",26,"hM26C",20,NA,"no","Yes"
"HA","5/6/12",86,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","5/6/12",86,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","5/6/12",86,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","5/6/12",86,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","5/6/12",86,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","5/9/12",88,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","5/9/12",88,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","5/9/12",88,"Dog",32,"dF32D",NA,"young",NA,"Yes"
"HA","5/9/12",89,"Human",38,"hM38A",40,NA,"no","No"
"HA","5/9/12",89,"Human",52,"hM52A",33,NA,"no","No"
"HA","5/11/12",91,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","5/11/12",91,"Human",28,"hM28A",23,NA,"no","Yes"
"HA","5/11/12",91,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","5/11/12",91,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","5/11/12",91,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","5/11/12",91,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","5/11/12",91,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","5/11/12",91,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","5/21/12",93,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","5/21/12",93,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","5/21/12",93,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","5/21/12",93,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","5/21/12",93,"Dog",46,"dF46A",NA,"adult",NA,"Yes"
"HA","5/21/12",93,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","5/21/12",93,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","5/22/12",94,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","5/22/12",94,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","5/22/12",94,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","5/23/12",95,"Human",28,"hM28A",23,NA,"no","No"
"HA","7/2/12",99,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","7/2/12",99,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","7/2/12",99,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","7/2/12",99,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","7/2/12",99,"Dog",32,"dF32D",NA,"young",NA,"Yes"
"HA","7/2/12",99,"Dog",32,"dM32E",NA,"adult",NA,"Yes"
"HA","7/3/12",101,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","7/3/12",101,"Human",32,"hM32D",15,NA,"yes","Yes"
"HA","7/3/12",101,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","7/3/12",101,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","7/3/12",101,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","7/3/12",101,"Dog",32,"dF32D",NA,"young",NA,"Yes"
"HA","7/3/12",101,"Dog",32,"dM32E",NA,"adult",NA,"Yes"
"HA","7/6/12",103,"Human",2,"hM2A",28,NA,"no","No"
"HA","7/6/12",103,"Human",9,"hM9A",29,NA,"no","No"
"HA","7/7/12",104,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","7/7/12",104,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","7/7/12",104,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","7/7/12",104,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","7/7/12",104,"Dog",26,"dM26C",NA,"adult",NA,"Yes"
"HA","7/9/12",106,"Human",33,"hM33A",40,NA,"no","No"
"HA","7/9/12",106,"Human",9,"hM9A",29,NA,"no","No"
"HA","7/12/12",107,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","7/12/12",107,"Human",26,"hM26C",20,NA,"no","Yes"
"HA","7/12/12",107,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","7/12/12",107,"Human",5,"hM5C",20,NA,"no","Yes"
"HA","7/12/12",107,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",26,"dM26C",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",5,"dM5A",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",5,"dM5C",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",5,"dF5D",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",6,"dM6A",NA,"adult",NA,"Yes"
"HA","7/12/12",107,"Dog",6,"dF6B",NA,"adult",NA,"Yes"
"HA","7/13/12",108,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","7/13/12",108,"Human",32,"hM32D",15,NA,"yes","Yes"
"HA","7/13/12",108,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","7/13/12",108,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","7/13/12",108,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","7/13/12",108,"Dog",32,"dF32D",NA,"young",NA,"Yes"
"HA","7/13/12",108,"Dog",32,"dM32E",NA,"adult",NA,"Yes"
"HA","7/14/12",109,"Human",61,"hM61A",19,NA,"no","Yes"
"HA","7/14/12",109,"Dog",61,"dM61A",NA,"adult",NA,"Yes"
"HA","7/14/12",109,"Dog",61,"dF61B",NA,"adult",NA,"Yes"
"HA","7/14/12",109,"Dog",61,"dF61C",NA,"adult",NA,"Yes"
"HA","7/16/12",111,"Human",40,"hM40A",50,NA,"no","No"
"HA","7/16/12",111,"Human",75,"hM75A",50,NA,"no","No"
"HA","7/18/12",112,"Human",2,"hM2A",28,NA,"no","No"
"HA","7/18/12",112,"Human",40,"hM40A",50,NA,"no","No"
"HA","7/20/12",113,"Human",2,"hM2A",28,NA,"no","No"
"HA","7/20/12",113,"Human",4,"hM4A",24,NA,"no","No"
"HA","7/21/12",114,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","7/21/12",114,"Human",26,"hM26C",20,NA,"no","Yes"
"HA","7/21/12",114,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","7/21/12",114,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","7/21/12",114,"Dog",5,"dM5A",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",5,"dM5B",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",5,"dM5C",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",5,"dF5D",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",6,"dM6A",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",26,"dM26A",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",26,"dM26B",NA,"adult","no","Yes"
"HA","7/21/12",114,"Dog",26,"dM26C",NA,"adult","no","Yes"
"HA","7/21/12",115,"Human",18,"hM18A",60,NA,NA,"Yes"
"HA","7/21/12",115,"Human",61,"hM61A",19,NA,NA,"Yes"
"HA","7/21/12",115,"Dog",61,"dM61A",NA,"adult",NA,"Yes"
"HA","7/21/12",115,"Dog",61,"dF61B",NA,"adult",NA,"Yes"
"HA","7/21/12",115,"Dog",61,"dF61C",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","7/22/12",116,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","7/22/12",116,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","7/22/12",116,"Human",6,"hM6A",30,NA,"no","Yes"
"HA","7/22/12",116,"Human",72,"hM72A",35,NA,"no","Yes"
"HA","7/22/12",116,"Dog",5,"dM5A",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",5,"dM5C",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",5,"dF5D",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",6,"dM6A",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",6,"dF6B",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",26,"dM26C",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","7/22/12",116,"Dog",45,"dF45A",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","7/22/12",116,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","7/22/12",116,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","7/23/12",117,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","7/23/12",117,"Human",26,"hM26C",18,NA,"no","Yes"
"HA","7/23/12",117,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","7/23/12",117,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","7/23/12",117,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","7/23/12",117,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","7/23/12",117,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","7/23/12",117,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","7/23/12",117,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","7/23/12",117,"Dog",26,"dM26C",NA,"adult",NA,"Yes"
"HA","7/25/12",118,"Human",29,"hM29A",24,NA,"no","Yes"
"HA","7/25/12",118,"Human",30,"hM30C",20,NA,"no","Yes"
"HA","7/25/12",118,"Human",49,"hM49C",20,NA,"no","Yes"
"HA","7/25/12",118,"Dog",31,"dF31A",NA,"adult",NA,"Yes"
"HA","7/25/12",118,"Dog",30,"dM30B",NA,"adult",NA,"Yes"
"HA","7/25/12",118,"Dog",29,"dM29A",NA,"adult",NA,"Yes"
"HA","7/25/12",118,"Dog",49,"dF49A",NA,"adult",NA,"Yes"
"HA","7/25/12",118,"Dog",49,"dF49B",NA,"adult",NA,"Yes"
"HA","7/25/12",118,"Dog",49,"dF49C",NA,"puppie",NA,"Yes"
"HA","7/26/12",119,"Human",45,"hM45A",29,NA,"no","No"
"HA","7/27/12",120,"Human",26,"hM26A",59,NA,NA,"Yes"
"HA","7/27/12",120,"Human",45,"hM45A",29,NA,NA,"Yes"
"HA","7/27/12",120,"Human",5,"hM5A",50,NA,NA,"Yes"
"HA","7/27/12",120,"Human",5,"hM5C",20,NA,NA,"Yes"
"HA","7/27/12",120,"Human",6,"hM6A",30,NA,NA,"Yes"
"HA","7/27/12",120,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","7/27/12",120,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","7/27/12",120,"Dog",45,"dM45A",NA,"adult",NA,"Yes"
"HA","7/27/12",120,"Dog",5,"dM5C",NA,"adult",NA,"Yes"
"HA","7/27/12",120,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","7/27/12",120,"Dog",5,"dM5A",NA,"adult",NA,"Yes"
"HA","7/27/12",120,"Dog",5,"dF5D",NA,"adult",NA,"Yes"
"HA","7/28/12",121,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","7/28/12",121,"Human",32,"hM32D",15,NA,"yes","Yes"
"HA","7/28/12",121,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","7/28/12",121,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","7/28/12",121,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","7/28/12",121,"Dog",32,"dF32D",NA,"adult",NA,"Yes"
"HA","7/28/12",121,"Dog",32,"dM32E",NA,"adult",NA,"Yes"
"HA","7/29/12",122,"Human",32,"hM32A",45,NA,"no","Yes"
"HA","7/29/12",122,"Human",32,"hM32D",15,NA,"yes","Yes"
"HA","7/29/12",122,"Human",32,"hM32E",11,NA,"yes","Yes"
"HA","7/29/12",122,"Human",32,"hM32F",10,NA,"yes","Yes"
"HA","7/29/12",122,"Dog",32,"dM32A",NA,"adult",NA,"Yes"
"HA","7/29/12",122,"Dog",32,"dF32D",NA,"adult",NA,"Yes"
"HA","7/29/12",122,"Dog",32,"dM32E",NA,"adult",NA,"Yes"
"HA","7/30/12",123,"Human",73,"hM73C",18,NA,"no","Yes"
"HA","7/30/12",123,"Dog",73,"dM73A",NA,"adult",NA,"Yes"
"HA","7/30/12",123,"Dog",73,"dF73B",NA,"adult",NA,"Yes"
"HA","7/31/12",124,"Human",29,"hM29A",24,NA,"no","Yes"
"HA","7/31/12",124,"Human",30,"hM30C",20,NA,"no","Yes"
"HA","7/31/12",124,"Dog",31,"dF31A",NA,NA,NA,"Yes"
"HA","7/31/12",124,"Dog",30,"dM30A",NA,NA,NA,"Yes"
"HA","7/31/12",124,"Dog",30,"dM30B",NA,NA,NA,"Yes"
"HA","7/31/12",124,"Dog",30,"d30C",NA,NA,NA,"Yes"
"HA","7/31/12",124,"Dog",29,"dM29A",NA,NA,NA,"Yes"
"HA","7/31/12",124,"Dog",29,"dM29B",NA,NA,NA,"Yes"
"HA","7/31/12",125,"Human",40,"hM40A",50,NA,"no","No"
"HA","8/1/12",126,"Human",61,"hM61A",19,NA,"no","Yes"
"HA","8/1/12",126,"Human",62,"hM62A",27,NA,"no","Yes"
"HA","8/1/12",126,"Human",63,"hM63A",31,NA,"no","Yes"
"HA","8/1/12",126,"Dog",61,"dM61A",NA,"adult",NA,"Yes"
"HA","8/1/12",126,"Dog",61,"dF61B",NA,"adult",NA,"Yes"
"HA","8/1/12",126,"Dog",61,"dF61C",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","8/3/12",128,"Human",26,"hM26C",20,NA,"no","Yes"
"HA","8/3/12",128,"Human",28,"hM28A",23,NA,"no","Yes"
"HA","8/3/12",128,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","8/3/12",128,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","8/3/12",128,"Human",5,"hM5C",20,NA,"no","Yes"
"HA","8/3/12",128,"Human",5,"hM5D",16,NA,"no","Yes"
"HA","8/3/12",128,"Human",6,"hM6A",30,NA,"no","Yes"
"HA","8/3/12",128,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Dog",5,"dM5C",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Dog",5,"dM5A",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Dog",5,"dF5D",NA,"adult",NA,"Yes"
"HA","8/3/12",128,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","8/3/12",128,"Dog",45,"dM45A",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","8/9/12",130,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","8/9/12",130,"Human",6,"hM6A",30,NA,"no","Yes"
"HA","8/9/12",130,"Dog",26,"dM26A",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",5,"dM5C",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",5,"dM5B",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",5,"dM5A",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",5,"dF5D",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","8/9/12",130,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","8/9/12",130,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","8/9/12",130,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","8/10/12",131,"Human",54,"hM54C",18,NA,"no","Yes"
"HA","8/10/12",131,"Human",54,"hM54D",15,NA,"yes","Yes"
"HA","8/10/12",131,"Dog",54,"dM54A",NA,NA,NA,"Yes"
"HA","8/10/12",131,"Dog",54,"dF54B",NA,NA,NA,"Yes"
"HA","8/10/12",131,"Dog",54,"dF54C",NA,NA,NA,"Yes"
"HA","8/10/12",131,"Dog",54,"d",NA,NA,NA,"Yes"
"HA","8/13/12",132,"Human",8,"hM8A",41,NA,"no","No"
"HA","8/13/12",132,"Human",9,"hM9A",29,NA,"no","No"
"HA","8/14/12",134,"Human",26,"hM26A",59,NA,"no","Yes"
"HA","8/14/12",134,"Human",26,"hM26C",20,NA,"no","Yes"
"HA","8/14/12",134,"Human",28,"hM28A",23,NA,"no","Yes"
"HA","8/14/12",134,"Human",45,"hM45A",29,NA,"no","Yes"
"HA","8/14/12",134,"Human",72,"hM72A",35,NA,"no","Yes"
"HA","8/14/12",134,"Dog",26,"dM26B",NA,"adult",NA,"Yes"
"HA","8/14/12",134,"Dog",45,"dM45B",NA,"young",NA,"Yes"
"HA","8/14/12",134,"Dog",46,"dF46B",NA,"adult",NA,"Yes"
"HA","8/14/12",134,"Dog",45,"dF45C",NA,"young",NA,"Yes"
"HA","8/14/12",134,"Dog",45,"dM45D",NA,"young",NA,"Yes"
"HA","8/14/12",134,"Dog",28,"dF28A",NA,"adult",NA,"Yes"
"HA","8/14/12",134,"Dog",28,"dF28B",NA,"young",NA,"Yes"
"HA","8/14/12",134,"Dog",28,"dF28C",NA,"young",NA,"Yes"
"HA","8/14/12",135,"Human",73,"hM73A",54,NA,"no","Yes"
"HA","8/14/12",135,"Human",73,"hM73C",18,NA,"no","Yes"
"HA","8/14/12",135,"Dog",73,"dM73A",NA,"adult",NA,"Yes"
"HA","8/14/12",135,"Dog",73,"dF73B",NA,"adult",NA,"Yes"
"HA","8/14/12",135,"Dog",73,"dM73C",NA,"adult",NA,"Yes"
"HA","8/14/12",136,"Human",28,"hM28A",23,NA,"no","No"
"HA","8/14/12",137,"Human",30,"hM30A",52,NA,"no","No"
"HA","8/14/12",137,"Human",32,"hM32A",45,NA,"no","No"
"HA","8/18/12",139,"Human",65,"hM65",40,NA,"no","Yes"
"HA","8/18/12",139,"Human",65,"hM65A",50,NA,"no","Yes"
"HA","8/18/12",139,"Human",65,"hM65C",25,NA,"no","Yes"
"HA","8/18/12",139,"Human",65,"hM65D",16,NA,"yes","Yes"
"HA","8/18/12",139,"Human",65,"hM65E",14,NA,"yes","Yes"
"HA","8/18/12",139,"Dog",65,"dM65A",NA,NA,NA,"Yes"
"HA","8/18/12",139,"Dog",65,"dM65B",NA,NA,NA,"Yes"
"HA","8/18/12",139,"Dog",65,"dM65C",NA,NA,NA,"Yes"
"HA","8/18/12",139,"Dog",66,"dM66A",NA,NA,NA,"Yes"
"HA","8/18/12",139,"Dog",65,"dM65",NA,NA,NA,"Yes"
"HA","8/18/12",140,"Human",28,"hM28A",23,NA,"no","Yes"
"HA","8/18/12",140,"Human",5,"hM5A",50,NA,"no","Yes"
"HA","8/18/12",140,"Human",6,"hM6A",30,NA,"no","Yes"
