pdate,hh,notes,..,bkpg,wenthunt,informant,whynot,bdate
,,,..,,,,,
04/01/12,,hunting note/record with the HA format,..,b2p12b,,,,04/01/12
4/17/12,,HA filled instrument,..,,,,,
,,,..,,,,,
5/15/12,5,,..,,N,wife,,
5/15/12,72,,..,,N,,,
5/15/12,14,,..,,N,,"no dog, no gun, no hunt",
5/15/12,68,,..,,N,,fishing,
5/15/12,8,,..,,N,wife,,
,,,..,,,,,
5/27/12,58,,..,,,,,
5/27/12,72,,..,,,,,
5/27/12,66,,..,,,,,
5/27/12,31,,..,,,,,
5/27/12,48,,..,,,,,
,,,..,,,,,
06/02/12,8,,..,,,,,
06/02/12,37,,..,,,,,
06/02/12,40,,..,,,,,
06/02/12,70,,..,,,,,
06/02/12,47,,..,,,,,
,,,..,,,,,
06/08/12,,LPC out of the village,..,,,,,
06/08/12,,LPC out of the village,..,,,,,
06/08/12,,LPC out of the village,..,,,,,
06/08/12,,LPC out of the village,..,,,,,
06/08/12,,LPC out of the village,..,,,,,
,,,..,,,,,
6/14/12,,LPC out of the village,..,,,,,
6/14/12,,LPC out of the village,..,,,,,
6/14/12,,LPC out of the village,..,,,,,
6/14/12,,LPC out of the village,..,,,,,
6/14/12,,LPC out of the village,..,,,,,
,,,..,,,,,
6/20/12,,LPC out of the village,..,,,,,
6/20/12,,LPC out of the village,..,,,,,
6/20/12,,LPC out of the village,..,,,,,
6/20/12,,LPC out of the village,..,,,,,
6/20/12,,LPC out of the village,..,,,,,
,,,..,,,,,
6/28/12,54,,..,,,,,
6/28/12,14,,..,,,,,
6/28/12,29,,..,,,,,
6/28/12,61,,..,,,,,
6/28/12,31,,..,,,,,
,,,..,,,,,
07/04/12,8,,..,b3p1b,,,,
07/04/12,57,,..,b3p1b,,,,
07/04/12,72,,..,b3p1b,,,,
07/04/12,73,,..,b3p1b,,,,
07/04/12,37,,..,b3p1b,,,,
,,,..,,,,,
07/10/12,27,,..,b3p6b,,,,
07/10/12,6,,..,b3p6b,,,,
07/10/12,28,,..,b3p6b,,,,
07/10/12,2,,..,b3p6b,,,,
07/10/12,54,,..,b3p6b,,,,
,,,..,,,,,
7/16/12,8,,..,b3p11,,,,
7/16/12,31,,..,b3p11,,,,
7/16/12,9,,..,b3p11,,,,
7/16/12,37,,..,b3p11,,,,
7/16/12,29,,..,b3p11,,,,
,,,..,,,,,
7/22/12,26,,..,b3p16b,,,,
7/22/12,40,,..,b3p16b,,,,
7/22/12,47,,..,b3p16b,,,,
7/22/12,2,,..,b3p16b,,,,
7/22/12,6,,..,b3p16b,,,,
,,,..,,,,,
7/28/12,6,,..,b3p21,,,,
7/28/12,48,,..,b3p21,,,,
7/28/12,37,,..,b3p21,,,,
7/28/12,49,,..,b3p21,,,,
7/28/12,62,,..,b3p21,,,,
,,,..,,,,,
08/03/12,40,,..,b3p29b,,,,
08/03/12,57,,..,b3p29b,,,,
08/03/12,61,,..,b3p29b,,,,
08/03/12,63,,..,b3p29b,,,,
08/03/12,68,,..,b3p29b,,,,
,,,..,,,,,
08/09/12,5,BZ Visa renewal reminder,..,b3p33b,,,,
08/09/12,30,BZ Visa renewal reminder,..,b3p33b,,,,
08/09/12,28,BZ Visa renewal reminder,..,b3p33b,,,,
08/09/12,66,BZ Visa renewal reminder,..,b3p33b,,,,
08/09/12,62,BZ Visa renewal reminder,..,b3p33b,,,,
,,,..,,,,,
8/15/12,58,,..,b3p35b,,,,
8/15/12,45,,..,b3p35b,,,,
8/15/12,26,,..,b3p35b,,,,
8/15/12,72,,..,b3p35b,,,,
8/15/12,73,,..,b3p35b,,,,
,,,..,,,,,
8/21/12,2,fieldbook says 8/20/2102,..,b3p37b,,,,
8/21/12,28,fieldbook says 8/20/2102,..,b3p37b,,,,
8/21/12,27,fieldbook says 8/20/2102,..,b3p37b,,,,
8/21/12,32,fieldbook says 8/20/2102,..,b3p37b,,,,
8/21/12,19,fieldbook says 8/20/2102,..,b3p37b,,,,
,,,..,,,,,
8/27/12,73,fieldbook says 8/28/2102,..,b3p42b,,,,
8/27/12,62,fieldbook says 8/28/2102,..,b3p42b,,,,
8/27/12,47,fieldbook says 8/28/2102,..,b3p42b,,,,
8/27/12,2,fieldbook says 8/28/2102,..,b3p42b,,,,
8/27/12,38,fieldbook says 8/28/2102,..,b3p42b,,,,
,,,..,,,,,
09/02/12,65,,..,b3p49,,,,
09/02/12,58,,..,b3p49,,,,
09/02/12,27,,..,b3p49,,,,
09/02/12,66,,..,b3p49,,,,
09/02/12,31,,..,b3p49,,,,
,,,..,,,,,
09/08/12,8,,..,b3p58b,,,,
09/08/12,54,,..,b3p58b,,,,
09/08/12,72,,..,b3p58b,,,,
09/08/12,70,,..,b3p58b,,,,
09/08/12,14,,..,b3p58b,,,,
,,,..,,,,,
9/14/12,54,,..,b3p64b,,,,
9/14/12,49,,..,b3p64b,,,,
9/14/12,28,,..,b3p64b,,,,
9/14/12,47,,..,b3p64b,,,,
9/14/12,48,,..,b3p64b,,,,
,,,..,,,,,
9/20/12,38,,..,b3p72b,,,,
9/20/12,72,,..,b3p72b,,,,
9/20/12,8,,..,b3p72b,,,,
9/20/12,30,,..,b3p72b,,,,
9/20/12,5,,..,b3p72b,,,,
,,,..,,,,,
9/26/12,2,,..,b3p77,,,,
9/26/12,14,,..,b3p77,,,,
9/26/12,5,,..,b3p77,,,,
9/26/12,26,,..,b3p77,,,,
9/26/12,6,,..,b3p77,,,,
,,,..,,,,,
10/02/12,27,,..,b3p80b,,,,
10/02/12,26,,..,b3p80b,,,,
10/02/12,19,,..,b3p80b,,,,
10/02/12,49,,..,b3p80b,,,,
10/02/12,62,,..,b3p80b,,,,
,,,..,,,,,
10/08/12,32,,..,b385b,,,,
10/08/12,9,,..,b385b,,,,
10/08/12,28,,..,b385b,,,,
10/08/12,65,,..,b385b,,,,
10/08/12,66,,..,b385b,,,,
,,,..,,,,,
10/14/12,47,,..,b3p90,,,,
10/14/12,70,,..,b3p90,,,,
10/14/12,14,,..,b3p90,,,,
10/14/12,37,,..,b3p90,,,,
10/14/12,49,,..,b3p90,,,,
,,,..,,,,,
10/20/12,30,,..,,,,,
10/20/12,38,,..,,,,,
10/20/12,45,,..,,,,,
10/20/12,8,,..,,,,,
10/20/12,47,,..,,,,,
,,,..,,,,,
10/26/12,37,,..,b3p108,,,,
10/26/12,28,,..,b3p108,,,,
10/26/12,45,,..,b3p108,,,,
10/26/12,54,,..,b3p108,,,,
10/26/12,31,,..,b3p108,,,,
,,,..,,,,,
11/01/12,32,,..,b3p115,,,,
11/01/12,65,,..,b3p115,,,,
11/01/12,6,,..,b3p115,,,,
11/01/12,9,,..,b3p115,,,,
11/01/12,37,,..,b3p115,,,,
,,,..,,,,,
11/07/12,,LPC out of the village,..,b3p120b,,,,
11/07/12,,LPC out of the village,..,b3p120b,,,,
11/07/12,,LPC out of the village,..,b3p120b,,,,
11/07/12,,LPC out of the village,..,b3p120b,,,,
11/07/12,,LPC out of the village,..,b3p120b,,,,
,,,..,,,,,
11/13/12,,LPC out of the village,..,,,,,
11/13/12,,LPC out of the village,..,,,,,
11/13/12,,LPC out of the village,..,,,,,
11/13/12,,LPC out of the village,..,,,,,
11/13/12,,LPC out of the village,..,,,,,
,,,..,,,,,
11/19/12,,LPC out of the village,..,,,,,
11/19/12,,LPC out of the village,..,,,,,
11/19/12,,LPC out of the village,..,,,,,
11/19/12,,LPC out of the village,..,,,,,
11/19/12,,LPC out of the village,..,,,,,
,,,..,,,,,
11/25/12,8,,..,b4p2,N,,,
11/25/12,73,,..,b4p2,,,,
11/25/12,30,,..,b4p2,,,,
11/25/12,48,,..,b4p2,N,,,
11/25/12,31,,..,b4p2,,,,
,,,..,,,,,
12/01/12,5,,..,b4p8,,,,
12/01/12,32,,..,b4p8,,,,
12/01/12,37,,..,b4p8,,,,
12/01/12,27,,..,b4p8,,,,
12/01/12,66,,..,b4p8,,,,
,,,..,,,,,
12/06/12,5,,..,b4p13b,,,,
12/06/12,6,,..,b4p13b,,,,
12/06/12,45,,..,b4p13b,,,,
12/06/12,19,,..,b4p13b,,,,
12/06/12,65,,..,b4p13b,,,,
,,,..,,,,,
12/13/12,9,,..,b4p23,,,,
12/13/12,54,,..,b4p23,,,,
12/13/12,38,,..,b4p23,,,,
12/13/12,8,,..,b4p23,,,,
12/13/12,5,,..,b4p23,,,,
,,,..,,,,,
12/19/12,58,,..,b4p28b,,,,
12/19/12,54,,..,b4p28b,,,,
12/19/12,27,,..,b4p28b,,,,
12/19/12,47,,..,b4p28b,,,,
12/19/12,6,,..,b4p28b,,,,
,,,..,,,,,
12/25/12,32,,..,,,,,
12/25/12,8,Golden Stream,..,,,,,
12/25/12,9,along with 8 to Golden Stream,..,,,,,
12/25/12,48,,..,,,,,
12/25/12,29,,..,,,,,