,hh.key,water.source,latrine,latrine.share,num.dog.female,num.dog.male,num.dog.dead,num.dog.sold,num.horse.female,num.horse.male,num.horse.dead,num.horse.sold,num.pig.female,num.pig.male,num.pig.dead,num.pig.consumed,num.pig.sold,num.chicken.total,num.chicken.female,num.chicken.male,num.chicken.match,num.chicken.dead,num.chicken.consumed,num.chicken.sold,num.chicks,num.chicks.dead,num.chicks.consumed,num.chicks.sold,num.turkey.female,num.turkey.male,num.turkey.dead,num.turkey.consumed,num.turkey.sold,num.cats.female,num.cats.male,num.cats.dead,num.cats.sold,num.ducks.female,num.ducks.male,num.ducks.dead,num.ducks.consumed,num.ducks.sold,num.beehives,solarpanel.amount,generator.amount,radio.amount,num.cell.phone,num.computer,tele.amount,cement.floors,num.zinc.house,num.chemical.pump,num.vehicle,vehicle.type,num.gas.stove,num.machete,num.machete.file,num.herbicides,herbicide.type,num.beds,num.hammocks,num.car.batteries,num.alum.pots,cook.pot.borrow,num.houses,num.axes,num.othr.tools,othr.tools.type,business.shop,business.start.date,business.end.date,top.items.sold,num.chainsaw,hired.othrs.lumb,hired.othrs.lumb.num,hired.for.lumb,hired.for.lumb.num,num.gun.own,gun.paytoborrow,num.gun.borrow,gun.pay.lend,num.gun.lend,cornmill.work,cornmill.srtdate,cornmill.enddate,vehicle.char.hospital,vehicle.cha.PGTM,vehicle.char.Nresour,vehicle.char.moving,vehicle.char.visit,charter.hospital,charter.PGTM,charter.Nresour,charter.moving,charter.visit,gov.subs.EdAg,gov.subs.insti,remittance,labor.chop.milpa,labor.plant.milpa,labor.chop.matahamb,labor.plant.matahamb,labor.chopplant.othrcrop,labor.housebuild,hire.bridge.road,hire.bridge.dur,hire.flag,hire.flag.dur,hire.work.mac,hire.workmac.dur,hire.watchm,hire.watchm.dur,hire.road.othr,hire.road.othr.dur,num.markettravel.PG,PGitems.purchased,PGprice.purch,PGitems.sold,PGprice.sold,GUAT.visit,GUAT.sold,GUATprice.sold,GUAT.purch,GUATprice.purch,HWNotes
1,1,PIPE,Y,N,0,1,0,0,1,0,1,0,0,1,0,3,1,5,4,1,Y,0,4,3.5,5,20,Na,0,0,0,Na,Na,Na,0,1,0,0,0,0,Na,Na,Na,0,0,0,1,1,0,0,1,1,1,0,Na,1,4,1,NA,NA,1,2,0,2,Na,2,1,NA,"HAMMR, SHOV, PICK, SCRDRIV",0,Na,Na,Na,0,N,Na,Y,2.5,0,N,NA,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,1,0,0,0,0,0,Na,0,ALNE,ALNE,ALNE,ALNE,NA,NA,N,Na,N,Na,N,Na,Y,NA,N,Na,11,NONE,Na,NONE,Na,1,pepito,$800/100lbs Quetzales,NONE,Na,
2,2,PIPE,Y,N,1,1,3,0,0,1,0,0,2,0,1,2,3,7,4,3,Y,0,12,0,18,0,Na,0,0,0,Na,Na,Na,0,1,0,0,0,0,Na,Na,Na,0,0,0,1,NA,0,0,0,0,0,0,Na,0,4,3,"4 liters, 1 gallon","2,4 D",1,NA,0,2,NA,1,NA,NA,NA,0,Na,Na,Na,0,N,0,N,Na,0,N,NA,N,NA,N,Na,Na,Na,Na,Na,Na,Na,0,0,0,0,0,Na,Na,0,EXCHNGE,EXCHNGE,EXCHNGE,ALNE,EXCHNGE,NA,N,Na,N,Na,N,Na,N,Na,N,Na,3,"sugar, coffee, soap, cabbage",NA,"corn, beans",NA,DK,pepito,NA,Na,Na,
3,3,,,,3,1,2,1,,NA,,,,NA,,,,NA,,,,,,,,,,,NA,,,,,NA,,,,NA,,,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,,NA,,NA,,,,,,,NA,,,,NA,,,,,NA,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,PIPE,Y,N,1,0,3,0,0,0,1,1,0,0,2,DK,4,0,0,0,Na,0,5,5,0,0,Na,0,0,0,1,0,1,0,1,0,0,0,0,Na,Na,Na,0,0,0,1,0,0,0,1,1,0,0,Na,0,4,1,1 bottle ,NA,1,1,0,0,9B,2,1,1,SHOV,0,Na,Na,Na,0,Y,1,Na,Na,0,N,NA,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,NA,NA,NA,NA,NA,NA,NA,NA,EXCNGE,EXCHNGE,EXCNGE,EXCNGE,EXCHNGE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,Y,3 weeks,3,"soap, dishes, spoons, clothing",NA,NONE,NA,2,NONE,Na,"gramason, fix amplifyer",NA,hired to paint lines with CISCO 
5,5,PIPE,N,N,2,3,8,0,0,3,0,0,0,5,8,8,0,22,7,2,N,38,23,3,8,40,Na,Na,0,Na,Na,Na,Na,1,4,2,0,0,Na,Na,Na,Na,Na,0,0,1,3,0,0,0,0,1,1,BICI,0,5,3,1 gallon,Na,3,3,0,1,Na,1,2,3,"HAMMR, SHOV, OTHR",0,Na,Na,Na,0,N,Na,N,Na,0,N,NA,N,NA,N,Na,Na,Na,Na,Na,Na,Na,0,0,0,0,0,NA,Na,Na,ALNE,EXCHNGE,ALNE,EXCHNGE,ALNE,EXCHNGE,N,Na,Na,Na,Na,Na,Na,Na,N,Na,0,Na,Na,Na,Na,3,Na,Na,"soap, lime, buk tumin",DK,
6,6,PIPE,N,Na,1,1,0,0,1,0,0,0,0,0,0,2,0,20,4,0,N,9,12,0,0,0,Na,0,0,0,Na,Na,Na,0,1,0,0,0,0,Na,Na,Na,0,0,0,0,0,0,0,0,0,0,1,NA,0,3,2,0,Na,1,2,0,0,41B,1,3,,NONE,0,Na,Na,Na,0,N,Na,Na,Na,0,N,NA,NA,NA,N,Na,Na,0,0,0,0,0,2,1,0,0,0,0,Na,0,EXCNGE,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,3,"chemicals, soap",NA,NONE,Na,0,Na,Na,Na,Na,
7,7,WTRPUMP,Y,N,1,0,0,0,0,0,0,0,3,5,Na,Na,2,2,Na,Na,Y,1,10,10,2,Na,Na,Na,0,0,Na,Na,Na,0,0,Na,Na,0,0,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,0,Na,0,2,2,Na,Na,3,5,0,1,Na,2,1,1,HAMMR,0,Na,Na,Na,0,N,Na,N,Na,0,N,NA,NA,NA,N,Na ,Na,Na,Na,Na,Na,Na,1,1,0,0,0,NA,NA,0,"PAID, ALNE",EXCHNGE,EXCHNGE,EXCHNGE,PAID,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,NA,"yam, cassava, coco",Na,Na,Dk,3,Na,Na,soap,Na,
8,8,"PIPE, WTRPUMP",Y,N,0,3,1,0,1,1,0,0,5,4,0,7,0,20,NA,2,N,0,20,0,0,0,Na,0,0,0,Na,Na,Na,1,1,1,0,0,0,Na,Na,Na,0,1,0,1,2,0,1,2,1,1,2,NA,1,10,6,5 gallons,"2,4 D, GRMXN",1,4,1,2,"40B, 2B, OTHR",2,1,NA,"HAMMR, SHOV, PICK, SCRDRIV",1,11-Dec,NA,Na,1,N,Na,Y,1,1,N,NA,N,NA,Y,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,"$150 books, $300 school",PRV,0,EXCNGE,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,11,"sugar, flour, coffee, garlic, soap, Masy soup, onion, salt",NA,corn,NA,5,"beans, pepito","$280-290 Quetzales, $900 Quetzales","correa corn mill/clip (things for corn mill), clothes, boots, shoes",NA,dog dead was: knock by CISCO
9,9,"PIPE, WTRPUMP",Y,Y,1,2,0,0,0,0,Na,Na,8,0,2,1,0,5,2,3,Y,5,4,0,0,Na,Na,Na,0,Na,Na,Na,Na,0,Na,Na,Na,0,Na,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,0,Na,0,1,0,1 gallon,DK,2,1,0,0,8B,1,0,0,Na,0,Na,Na,Na,0,N,0,N,Na,1,N,NA,DK,NA,N,Na,Na,Na,Na,Na,Na,Na,1,0,0,0,0,NA,NA,NA,EXCHNGE,PAID,Na,Na,EXCHNGE,EXCHNGE,Y,28,N,Na,N,Na,N,Na,Y,28,2,"soap, coffee, sugar, onion, garlic",DK,NONE,Na,2,"beans, pepitorio, clothes",DK,clothes,DK,
10,10,"PIPE, WTRPUMP",Y,Y,5,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Na,0,0,0,0,0,Na,0,0,0,Na,Na,Na,0,0,Na,Na,0,0,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,1,NA,0,15,2,"1 gallon, 3 bottles","2,4 D, GRMXN",3,2,0,0,NA,1,1,NA,"HAMMR, SHOV, PICK, SCRDRIV",0,Na,Na,Na,0,N,Na,Y,2,0,N,NA,NA,NA,N,Na,Na,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,Na,0,EXCNGE,PAID,NA,NA,PAID,NA,N,Na,N,Na,N,Na,N,Na,Y,20 weeks ,2,"sugar, lard, coffee, soap",NA,NONE,Na,1,pepito,NA,NONE,Na,
11,12,PIPE,Y,Y,0,0,NA,0,0,0,0,0,0,0,0,0,0,12,10,2,Y,0,8,5,6,4,Na,0,0,0,Na,Na,Na,0,0,Na,Na,0,0,Na,Na,Na,0,0,0,2,1,0,0,1,1,0,0,Na,0,6,3,0,Na,1,3,0,0,grandma,2,1,5,"HAMMR, SCRDRIV, HOE, OTHR",0,Na,Na,Na,0,N,Na,N,Na,0,N,NA,N,NA,N,Na,Na,Na,Na,Na,Na,Na,0,3.5,0,0,0,0,Na,0,EXCNGE,EXCHNGE,EXCHNGE,ALNE,ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,3,"soup, chicken feed",NA,NONE,Na,0,Na,Na,Na,Na,
12,13,PIPE,Y,Y,0,0,NA,0,1,0,0,0,1,1,0,1,5,15,14,1,Y,0,10,0,6,15,Na,0,0,0,Na,Na,Na,0,1,0,0,0,0,Na,Na,Na,0,0,0,1,0,0,0,1,1,0,0,Na,0,3,2,1 gal,PRQUAT,1,4,0,1,40B,2,1,,"SHOV, PICK",0,Na,Na,Na,0,N,Na,Na,Na,0,N,NA,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,1,0,1,0,0,0,Na,0,EXCNGE,EXCHNGE,"PAID, EXCHNGE",EXCHNGE,EXCHNGE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,Y,3 days,10,"coffee, sugar, soap",Na,NONE,Na,3,Na,Na,"clothing, soap",Na,
13,14,PIPE,Y,N,0,1,1,0,0,1,0,0,3,8,0,0,0,3,3,0,Y,0,0,0,3,5,0,0,0,0,Na,Na,Na,0,0,Na,Na,0,0,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,2,BICI,1,5,1,1,NA,1,3,0,7,Na,1,1,2,"SCRDRIV, OTHR",0,Na,Na,Na,0,Y,1,N,Na,NA,N,NA,N,NA,N,Na,Na,Na,Na,Na,Na,Na,0,0,0,0,0,0,Na,0,ALNE,ALNE,PAID,ALNE,ALNE,EXCHNGE,Y,2,N,Na,N,Na,N,Na,N,Na,3,"books, ",$30-$57BZ,Na,Na,DK,"beans, pepitorio","$250/100lbs Quetzales, $800/100lbs Quetzales",NONE,Na,Price for pepitorio in October varied.
14,15,,,,2,1,5,3,,NA,,,,NA,,,,NA,,,,,,,,,,,NA,,,,,NA,,,,NA,,,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,,NA,,NA,,,,,,,NA,,,,NA,,,,,NA,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,PIPE,N,Na,0,0,NA,0,0,1,0,0,3,4,0,2,2,34,29,5,Y,0,21,5,9,0,Na,0,3,2,0,1,1,0,0,0,Na,14,2,0,10,40,0,0,0,1,2,0,0,0,0,1,1,BICI,0,2,1,0,Na,1,2,0,1,Na,1,1,,NONE,0,Na,Na,Na,0,N,Na,Y,1,0,N,NA,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,0,0,0,0,0,0,Na,0,"PAID, EXCNGE",EXCHNGE,ALNE,EXCNGE,ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,3,"flour, rice, sugar, coffee, baskets",Na,Na,Na,1,Na,Na,large cooking pot,250 quetzales,
16,17,PIPE,Y,N,0,0,NA,0,0,0,0,0,3,2,0,1,1,NA,8,0,Na,0,17,8,27,0,Na,0,0,0,Na,Na,Na,0,0,Na,0,0,0,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,0,Na,0,2,1,0,Na,1,2,0,0,NA,NA,NA,NA,NA,0,Na,Na,Na,NA,NA,NA,NA,NA,0,N,NA,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,7,3,0,0,0,0,Na,0,ALNE,EXCHNGE,ALNE,EXCHNGE,ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,0,Na,Na,Na,Na,0,Na,Na,Na,Na,
17,18,PIPE,Y,Y,0,0,NA,NA,0,0,Na,Na,2,0,0,Na,Na,7,2,5,Y,10,Na,0,4,5,0,0,0,0,Na,Na,Na,0,1,0,0,0,0,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,0,Na,0,5,1,0,Na,1,2,0,0,Na,1,0,0,Na,0,Na,Na,Na,0,N,0,Na,Na,0,Na,0,N,NA,N,Na,Na,Na,Na,Na,Na,Na,0,0,0,0,0,0,0,0,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,Na,Na,5,"soap, cloth, sugar, bread","$17.50, $5/yd., and $3.25",corn,$35/quintal,3,NONE,"$100/quetzales, ",NONE,Na,
18,19,,,,1,3,0,0,,NA,,,,NA,,,,NA,,,,,,,,,,,NA,,,,,NA,,,,NA,,,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,,,NA,,NA,,,,,,,NA,,,,NA,,,,,1,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,PIPE,Y,Y,0,1,0,0,1,0,0,1,0,0,0,1,0,10,NA,1,N,0,10,0,10,5,Na,0,0,0,Na,Na,Na,0,2,0,0,0,0,Na,Na,Na,0,0,1,1,NA,NA,1,1,2,0,2,Na,1,5,1,1 liter,NA,1,2,0,0,19B,3,1,NA,"HAMMR, SHOV, PICK, SCRDRIV",0,Na,Na,Na,0,N,Na,N,Na,0,N,NA,N,NA,N,Na,Na,0,0,0,0,0,0,1,0,0,0,0,Na,0,"PAID, EXCNGE, ALNE","EXCHNGE, ALNE","PAID, ALNE","EXCNGE, ALNE",ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,5,"soap, sugar, fish",fish=$5,NONE,Na,NA,pepito,NA,soft drinks,NA,
20,21,PIPE,Y,Y,0,0,NA,0,0,0,0,0,0,0,1,1,0,3,2,1,Y,0,4,0,0,15,Na,0,0,0,Na,Na,Na,1,0,0,0,0,0,Na,Na,Na,0,0,0,1,1,0,0,1,0,0,1,NA,0,4,2,0,Na,1,NA,0,1,mother,1,0,3,"HAMMR, SHOV, SPADE",0,Na,Na,Na,0,Y,1,N,Na,0,N,NA,NA,NA,N,Na,Na,Na,Na,Na,Na,Na,0,1,2,0,0,0,Na,0,"PAID, ALNE",NA,"PAID, ALNE",EXCHNGE,ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,0,Na,Na,Na,Na,0,Na,Na,Na,Na,
21,22,PIPE,Y,Y,0,0,NA,NA,0,0,Na,Na,2,2,0,0,0,3,1,2,Y,1,0,0,4,0,0,0,0,0,Na,Na,Na,0,0,Na,Na,0,0,Na,Na,Na,0,0,0,1,0,0,0,0,0,0,1,BICI,0,7,1,Na,Na,1,2,0,5,Na,1,1,4,"HAMMR, SHOV, PICK, SCRDRIV",0,Na,Na,Na,0,N,Na,Na,Na,0,N,0,N,NA,N,Na,Na,Na,Na,Na,Na,Na,1,0,0,0,0,0,Na,0,ALNE,EXCHNGE,EXCHNGE,EXCHNGE,ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,0,Na,Na,Na,Na,1,beans ,$300/100lbs sold 5 sacs,NONE,Na,
22,23,PIPE,Y,N,2,0,0,2,0,1,0,1,0,0,Na,Na,1,2,2,0,Y,0,5,4,7,0,Na,0,0,0,Na,Na,Na,0,Na,Na,Na,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,BICI,0,7,1,0,Na,1,2,0,1,Na,1,1,5,"HAMMR, SHOV, PICK, SCRDRVR, HOE",0,Na,Na,Na,0,N,Na,Y,1,0,N,NA,N,NA,N,Na,Na,Na,Na,Na,Na,Na,0,0,0,0,0,0,0,0,ALNE,EXCHNGE,ALNE,EXCHNGE,ALNE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,3,"onion, soap, salt","$2.00/lbs, $1.25/each, $.60/lb",corn,$35/bag,2,"beans, corn, pepitorio","$200/sac, $100/sac, $900/sac quetzales",clothes,DK,Guatemalan items sold are in quetzales
23,24,PIPE,Y,Na,3,1,2,1,0,0,Na,Na,4,2,1,1,0,6,5,1,Y,3,4,0,9,0,Na,0,0,0,Na,Na,Na,1,0,0,0,0,0,Na,Na,0,0,0,0,1,0,0,0,0,0,0,1,BICI,0,5,2,2,GRMXN,1,0,0,0,NONE,1,0,Na,Na,0,Na,Na,Na,0,N,Na,N,Na,0,N,NA,NA,NA,Na,N,N,Na,Na,Na,Na,Na,0,0,0,0,0,DK,DK,DK,"PAID, EXCHNGE",EXCHNGE,ALNE,EXCHNGE,EXCHNGE,EXCHNGE,N,Na,N,Na,N,Na,N,Na,N,Na,6,"soap, onion, chickens, meat",NA,"corn, beans, baskets",NA,NA,NA,NA,NA,NA,
